"filename", "language", "Visual Basic", "XML", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\clsSortingSearch.vb", "Visual Basic", 782, 0, 0, 0, 0, 333, 57, 1172
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\clsSpatialIndexSearch.vb", "Visual Basic", 769, 0, 0, 0, 0, 155, 104, 1028
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\frmGridRelated\frmGrid.Designer.vb", "Visual Basic", 514, 0, 0, 0, 0, 150, 5, 669
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\frmGridRelated\frmGrid.vb", "Visual Basic", 2199, 0, 0, 0, 0, 102, 156, 2457
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\frmGridRelated\frmGridAddDefData.designer.vb", "Visual Basic", 263, 0, 0, 0, 0, 77, 5, 345
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\frmGridRelated\frmGridAddDefData.vb", "Visual Basic", 253, 0, 0, 0, 0, 15, 27, 295
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\frmGridRelated\frmGridDataRefference.Designer.vb", "Visual Basic", 86, 0, 0, 0, 0, 32, 5, 123
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\frmGridRelated\frmGridDataRefference.vb", "Visual Basic", 148, 0, 0, 0, 0, 0, 7, 155
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\frmGridRelated\frmGridGPX.designer.vb", "Visual Basic", 178, 0, 0, 0, 0, 47, 5, 230
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\frmGridRelated\frmGridGPX.vb", "Visual Basic", 85, 0, 0, 0, 0, 0, 6, 91
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\frmMainRelated\clsOldMDRFile.vb", "Visual Basic", 1328, 0, 0, 0, 0, 54, 139, 1521
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\frmMainRelated\frmInnerData.Designer.vb", "Visual Basic", 112, 0, 0, 0, 0, 29, 5, 146
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\frmMainRelated\frmInnerData.vb", "Visual Basic", 80, 0, 0, 0, 0, 0, 7, 87
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\frmMainRelated\frmMain.Designer.vb", "Visual Basic", 1340, 0, 0, 0, 0, 452, 5, 1797
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\frmMainRelated\frmMain.vb", "Visual Basic", 2965, 0, 0, 0, 0, 324, 246, 3535
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\frmMainRelated\frmMainProperty.Designer.vb", "Visual Basic", 82, 0, 0, 0, 0, 23, 5, 110
